,ZNF90,ZNF534,H3K9me3,KAP1,SMAD1,OCT4,TCF4,SOX2,FOXP1,FOXA1,KLF4,NANOG,MED1,H3K27ac,H3K4me1,H3K4me3,Chimeric Transcript,GRO-seq,RNA-seq
chr2_38080802_38086512_4488_ZNF534_k4me3_weakenh_NANOG_SMAD11_GRO3of7_C_7down_-__chr2_38086115-38086512_-__1-397,,10,,,13,,,,,,,2,,4,,6,,,
chr2_67331517_67337601_3465_transcribed_ZNF534_k4me3_TSS_wanghigh_GRO1of7_7down____chr2_67331517-67331914____1-397,,10,,,,,,,,,,,,4,5,6,,8,9
chr6_141452825_141460680_4854_ZNF534_EncodeRepressed_NANOG_GRO1of7_7down____chr6_141452825-141453224____1-399,,10,,,,,,,,,,2,,4,,,,8,
chr3_106922769_106928372_3371_ZNF534_KAP1_EncodeTxn_C_7down_-__chr3_106927983-106928372_-__1-389,,10,11,12,,,,,,,,,,4,,6,,,
chr1_112809667-112815325_2652_ZNF534_k4me3_enh_wanghigh_GRO2of7__chr1_112809667-112810079____1-410,,10,,,,,,,,,,,,4,,6,,,9
chr8_30035257_30035666_SOLO_NANOG_7down____chr8_30035257-30035666____1-408,,,,,,,,,,,,2,,4,,,,,
chr21_17899676_17900086_EncodeRepressed_SOLO_NANOG_C_7down_-__chr21_17899676-17900086_-__1-410,,,,,,,,,,,,2,,4,,,,,
chr6_145103186_145108857_4564_ZNF534_KAP1_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr6_145108459-145108857_-__1-398,,10,11,12,,,,,,,,,,,,,,,
chr2_192918303_192924835_2913_ZNF534_EncodeTxn_GRO3of7_7down____chr2_192918303-192918721____1-399,,10,,,,,,,,,,,,,,,,,
chr12_60951268_60957619_3267_ZNF534_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr12_60957216-60957619_-__1-403,,10,,,,,,,,,,,,,,,,,
chr11_94345725_94351415_4087_ZNF90_KAP1_EncodeTxn_7down____chr11_94345725-94346118____1-393,1,,11,12,,,,,,,,,,,,,,,
chr1_239101236_239107062_3312_ZNF534_EncodeRepressed_GRO1of7_7down____chr1_239101236-239101619____1-383,,10,,,,,,,,,,,,,,,,8,
chr6_76562300_76562692_h3k27ac_TSS_SOLO_FOXP1_NANOG_SOX2_7down____chr6_76562300-76562692____1-392,,,,,,,,16,17,,,2,,4,,6,,,
chr7_120885700_120891391_4226_ZNF534_ZNF90_KAP1_EncodeTxn_C_7down_-__chr7_120890984-120891391_-__1-407,1,10,11,12,,,,,,,,,,4,,6,,,
chr13_110486602_110486998_enh_SOLO_NANOG_C_7down_-__chr13_110486602-110486998_-__1-394,,,,,,,,,,,,2,,4,5,,,,
chr3_32460939-32466915_3206_1_EncodeRepressed_GRO2of7__chr3_32466510-32466915_-__1-405,,,,,,,,,,,,,,,,6,,,
chr8_48261721_48262129_weakenh_SOLO_NANOG_C_7down_-__chr8_48261721-48262129_-__1-407,,,,,,,,,,,,2,,4,5,,,,
chr14_95973031-95978860_3275_ZNF534_KAP1_EncodeTxn_GRO2of7__chr14_95973031-95973430____1-398,,10,,12,,,,,,,,,,4,,6,,,
chr13_104207593_104213824_2340_ZNF534_KAP1_EncodeRepressed_NANOG_GRO3of7_C_7down_-__chr13_104213422-104213824_-__1-392,,10,11,12,,,,,,,,2,,4,,,,,
chr9_29902369_29902777_EncodeRepressed_SOLO_C_7down_-__chr9_29902369-29902777_-__1-408,,,,,,,,,,,,,,,,,,,
chr2_172548349_172548758_h3k27ac_EncodeRepressed_SOLO_7down____chr2_172548349-172548758____1-358,,,,,,,,,,,,,,4,,,,,
chrX_16044720_16050414_4804_ZNF534_ZNF90_KAP1_EncodeTxn_chimeric_GRO3of7_C_7down_-__chrX_16050016-16050414_-__1-398,1,10,11,12,,,,,,,,,,,,,7,,
chrX_16179202_16184434_2335_ZNF534_k4me3_EncodeRepressed_NANOG_C_7down_-__chrX_16184029-16184434_-__1-405,,10,,,,,,,,,,2,,4,,6,,,
chr11_122824428_122832822_2198_ZNF534_ZNF90_KAP1_EncodeTxn_7down____chr11_122824428-122824830____1-402,1,10,11,12,,,,,,,,,,4,,6,,,
chr2_197709362_197709729_TSSflanking_SOLO_C_7down_-__chr2_197709362-197709729_-__1-367,,,,,,,,,,,,,,,,6,,,
chr12_13259639_13265519_4739_ZNF534_KAP1_EncodeRepressed_NANOG_GRO3of7_C_7down_-__chr12_13265120-13265519_-__1-399,,10,,12,,,,,,,,2,,4,,6,,,
chr10_91301350_91307329_2503_ZNF534_EncodeRepressed_C_7down_-__chr10_91306922-91307329_-__1-407,,10,,,,,,,,,,,,,5,,,,
chr4_133263579_133268907_3428_1_k27ac_EncodeTxn_C_7down_-__chr4_133268509-133268907_-__1-398,,,,,,,,,,,,,,4,,,,,
chrX_116720317_116726712_3022_ZNF534_KAP1_EncodeTxn_NANOG_44108_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chrX_116726299-116726712_-__1-411,,10,,12,,,,,,,,2,,4,5,,,,
chr10_116480675_116486518_4892_ZNF534_ZNF90_KAP1_EncodeTxn_7down____chr10_116480675-116481083____1-408,1,10,11,12,,,,,,,,,,,,,,,
chr3_31506596_31507006_h3k27ac_weakenh_SOLO_C_7down_-__chr3_31506596-31507006_-__1-410,,,,,,,,,,,,,,,,,,,
chr11_102904000_102909908_3326_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO4of7_C_7down_-__chr11_102909501-102909908_-__1-407,1,10,11,12,,,,,,,,,,4,,,,,
chr11_94641601_94647311_4553_transcribed_ZNF534_k4me3_EncodeTxn_NANOG_GRO1of7_7down____chr11_94641601-94642009____1-399,,10,,,,,,,,,,2,,4,5,6,,8,
chrX_6272220_6277943_4663_ZNF534_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chrX_6277535-6277943_-__1-407,,10,,12,,,,,,,,,,4,,6,,,
chr1_79638762_79644487_4503_ZNF534_EncodeTxn_GRO4of7_C_7down_-__chr1_79644083-79644487_-__1-403,,10,,,,,,,,,,,,,,,,,
chr10_90384552_90384961_EncodeRepressed_SOLO_NANOG_TCF4_7down____chr10_90384552-90384961____1-408,,,,,,,15,,,,,2,,4,5,,,,
chr18_29000350_29000757_EncodeTxn_SOLO_NANOG_SMAD11_C_7down_-__chr18_29000350-29000757_-__1-406,,,,,13,,,,,,,2,,4,,,,,
chr21_28161434-28166924_2848_1_k4me3_EncodeRepressed_GRO2of7__chr21_28161434-28161842____1-407,,,,,,,,,,,,,,4,,6,,,
chr17_57017124_57017526_enh_SOLO_7down____chr17_57017124-57017526____1-401,,,,,,,,,,,,,,4,5,,,,
chr6_62791671_62797450_2959_ZNF534_KAP1_EncodeRepressed_GRO1of7_7down____chr6_62791671-62792025____1-354,,10,,12,,,,,,,,,,,,,,8,
chr12_8812977_8813333_h3k27ac_EncodeRepressed_SOLO_7down____chr12_8812977-8813333____1-356,,,,,,,,,,,,,,4,,,,,
chr7_49101085_49101493_h3k27ac_enh_SOLO_NANOG_44108_SMAD11_TCF4_7down____chr7_49101085-49101493____1-408,,,,,13,,15,,,,,2,,4,5,,,,
chrX_2850526_2850930_EncodeRepressed_SOLO_NANOG_7down____chrX_2850526-2850930____1-404,,,,,,,,,,,,2,,4,,,,,
chr12_9962437_9968690_3068_ZNF534_EncodeTxn_GRO4of7_C_7down_-__chr12_9968270-9968690_-__1-409,,10,,,,,,,,,,,,,,,,,
chr21_16631053_16631452_EncodeRepressed_SOLO_7down____chr21_16631053-16631452____1-399,,,,,,,,,,,,,,,,,,,
chr11_37969219_37969623_EncodeTxn_SOLO_C_7down_-__chr11_37969219-37969623_-__1-404,,,,,,,,,,,,,,4,,,,,
chr5_116619010_116619408_h3k27ac_EncodeTxn_SOLO_C_7down_-__chr5_116619010-116619408_-__1-398,,,,,,,,,,,,,,,,,,,
chr2_22970193_22970590_enh_SOLO_NANOG_44108_C_7down_-__chr2_22970193-22970590_-__1-396,,,,,,,,,,,,2,,4,5,,,,
chr2_47698281_47698679_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr2_47698281-47698679_-__1-398,,,,,,,,,,,,2,,4,5,,,,
chr1_248335766_248341106_2501_1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr1_248340699-248341106_-__1-407,,,11,,,,,,,,,,,,,,,,
chr6_164338769_164344779_3315_ZNF534_KAP1_k27ac_enh_NANOG_44108_SMAD11_GRO4of7_C_7down_-__chr6_164344371-164344779_-__1-397,,10,,12,13,,,,,,,2,,4,,,,,
chr4_134012212_134018380_1805_ZNF534_KAP1_EncodeTxn_NANOG_GRO3of7_7down____chr4_134012212-134012620____1-397,,10,11,12,,,,,,,,2,,4,,6,,,
chrX_121343896_121348628_2933_ZNF534_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chrX_121348268-121348628_-__1-359,,10,,,,,,,,,,,,,,,,,
chr5_5076271_5076678_h3k27ac_EncodeRepressed_SOLO_NANOG_C_7down_-__chr5_5076271-5076678_-__1-407,,,,,,,,,,,,2,,4,5,,,,
chr3_186657774_186663690_1570_ZNF534_KAP1_EncodeTxn_GRO1of7_7down____chr3_186657774-186658170____1-396,,10,11,12,,,,,,,,,,,,,,8,
chr1_241433889_241439882_3369_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO3of7_7down____chr1_241433889-241434289____1-399,1,10,11,12,,,,,,,,,,,,,,,
chr3_109176402_109176803_EncodeTxn_SOLO_C_7down_-__chr3_109176402-109176803_-__1-399,,,,,,,,,,,,,,4,,,,,
chr13_33491863_33492257_EncodeTxn_SOLO_C_7old_-__chr13_33491863-33492257_-__1-393,,,,,,,,,,,,,,,,,,,
chr5_116822250_116822654_h3k27ac_enh_SOLO_KLF4_MED1_NANOG_7down____chr5_116822250-116822654____1-403,,,,,,,,,,,19,2,3,4,5,,,,
chr14_61133252_61139160_4641_ZNF534_ZNF90_KAP1_EncodeTxn_GRO4of7_C_7down_-__chr14_61138757-61139160_-__1-398,1,10,11,12,,,,,,,,,,,,,,,
chr12_73001848_73007727_1993_ZNF534_EncodeRepressed_NANOG_GRO3of7_C_7down_-__chr12_73007317-73007727_-__1-410,,10,,,,,,,,,,2,,,,6,,,
chr3_97272463_97277550_2549_1_k27ac_weakenh_C_7down_-__chr3_97277159-97277550_-__1-380,,,,,,,,,,,,,,4,,6,,,
chr11_25579395_25579817_enh_SOLO_NANOG_SMAD11_C_7down_-__chr11_25579395-25579817_-__1-396,,,,,13,,,,,,,2,,4,,,,,
chr20_172772-178853_2990_1_EncodeTxn_GRO2of7__chr20_172772-173223____1-451,,,,,,,,,,,,,,4,,,,,
chr2_184198784_184199229_h3k27ac_EncodeTxn_SOLO_7int____chr2_184198784-184199229____1-444,,,,,,,,,,,,,,4,,,,,
chr13_48594936_48595388_enh_SOLO_7int____chr13_48594936-48595388____1-451,,,,,,,,,,,,,,4,,,,,
chr1_54906872_54907325_h3k27ac_EncodeTxn_SOLO_chimeric_C_7int_-__chr1_54906872-54907325_-__1-451,,,,,,,,,,,,,,4,,,7,,
chr10_27465310_27470937_3794_1_k4me3_weakenh_7int____chr10_27465310-27465760____1-450,,,,,,,,,,,,,,4,,6,,,
chr7_120009179_120014835_2887_1_EncodeTxn_7int____chr7_120009179-120009629____1-449,,,,,,,,,,,,,,4,,6,,,
chr21_26081260_26081656_h3k27ac_enh_SOLO_NANOG_44108_SMAD11_SOX2_TCF4_C_7int_-__chr21_26081260-26081656_-__1-396,,,,,13,,15,16,,,,2,,4,,,,,
chr8_131310175_131315847_4355_transcribed_ZNF534_k4me3_EncodeTxn_NANOG_SMAD11_wanghigh_GRO1of7_7down____chr8_131310175-131310564____1-389,,10,,,13,,,,,,,2,,4,,6,,8,9
chr5_66936361_66936718_weakenh_SOLO_C_7down_-__chr5_66936361-66936718_-__1-348,,,,,,,,,,,,,,,,,,,
chr8_57874485_57874894_EncodeRepressed_SOLO_C_7down_-__chr8_57874485-57874894_-__1-409,,,,,,,,,,,,,,,,,,,
chr8_75217076_75217474_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr8_75217076-75217474_-__1-398,,,,,,,,,,,,2,,4,5,,,,
chrX_147138030_147138442_EncodeTxn_SOLO_7down____chrX_147138030-147138442____1-408,,,,,,,,,,,,,,,,,,,
chr2_116190543_116190949_EncodeRepressed_SOLO_C_7down_-__chr2_116190543-116190949_-__1-406,,,,,,,,,,,,,,,,,,,
chr5_25445823_25446221_h3k4me3_TSS_SOLO_44108_C_7down_-__chr5_25445823-25446221_-__1-398,,,,,,,,,,,,,,,,,,,
chr11_3647949-3653636_4719_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO2of7__chr11_3647949-3648306____1-357,1,10,11,12,,,,,,,,2,,,,,,,
chr14_83961579_83961993_h3k27ac_EncodeTxn_SOLO_NANOG_7down____chr14_83961579-83961993____1-406,,,,,,,,,,,,2,,4,5,,,,
chr6_38921759_38922167_EncodeRepressed_SOLO_C_7down_-__chr6_38921759-38922167_-__1-408,,,,,,,,,,,,,,4,,,,,
chr4_172955660_172962312_3038_ZNF534_EncodeRepressed_C_7down_-__chr4_172961900-172962312_-__1-409,,10,,,,,,,,,,,,,,,,,
chr3_173155218_173161544_1581_ZNF534_EncodeTxn_C_7down_-__chr3_173161127-173161544_-__1-410,,10,,,,,,,,,,,,,,,,,
chr12_87907290_87912900_2780_1_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr12_87912490-87912900_-__1-408,,,,,,,,,,,,,,,,,,,
chr9_31440339_31440748_EncodeRepressed_SOLO_NANOG_7down____chr9_31440339-31440748____1-409,,,,,,,,,,,,2,,,,,,,
chr8_57941798_57942211_EncodeRepressed_SOLO_C_7down_-__chr8_57941798-57942211_-__1-411,,,,,,,,,,,,,,,,,,,
chr14_85732437_85738601_3090_ZNF534_k4me3_EncodeRepressed_NANOG_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr14_85738190-85738601_-__1-411,,10,,,,,,,,,,2,,4,,6,,,
chr1_70588437_70593991_3046_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO3of7_7down____chr1_70588437-70588793____1-356,1,10,,12,,,,,,,,2,,4,,,,,
chr11_133626775_133632692_3454_ZNF534_EncodeTxn_GRO4of7_7down____chr11_133626775-133627185____1-407,,10,,,,,,,,,,,,,,,,,
chrX_138258661_138264347_3027_ZNF534_k4me3_EncodeTxn_NANOG_GRO1of7_7down____chrX_138258661-138259059____1-398,,10,,,,,,,,,,2,,4,,6,,8,
chr3_141204901_141211729_3245_ZNF534_EncodeTxn_GRO3of7_7down____chr3_141204901-141205306____1-405,,10,,,,,,,,,,,,,,,,,
chr5_166740058_166744650_3099_ZNF534_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7down_-__chr5_166744251-166744650_-__1-398,,10,,,,,,,,,,,,,,,,,
chr2_146539893_146540292_h3k27ac_enh_SOLO_NANOG_44108_SMAD11_TCF4_7down____chr2_146539893-146540292____1-398,,,,,13,,15,,,,,2,,4,,,,,
chr12_30056081_30062516_3142_ZNF534_EncodeTxn_GRO3of7_7down____chr12_30056081-30056491____1-410,,10,,,,,,,,,,,,,,,,,
chrY_13097143_13097544_SOLO_7down____chrY_13097143-13097544____1-401,,,,,,,,,,,,,,,,,,,
chr3_143116997_143117412_weakenh_SOLO_C_7down_-__chr3_143116997-143117412_-__1-408,,,,,,,,,,,,,,4,,,,,
chr9_10884982_10890707_2892_KAP1_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_7down____chr9_10884982-10885376____1-394,,,11,12,,,,,,,,,,,,,,,
chr2_57227242_57235205_2902_ZNF534_EncodeRepressed_7down____chr2_57227242-57227641____1-399,,10,,,,,,,,,,,,,,,,,
chr6_137060268_137067121_3083_ZNF534_EncodeTxn_GRO4of7_C_7down_-__chr6_137066710-137067121_-__1-408,,10,,,,,,,,,,,,,,,,,
chr5_45112438_45112846_h3k27ac_EncodeRepressed_SOLO_C_7down_-__chr5_45112438-45112846_-__1-407,,,,,,,,,,,,,,,5,,,,
chr8_63888201_63888569_h3k27ac_EncodeRepressed_SOLO_NANOG_7down____chr8_63888201-63888569____1-368,,,,,,,,,,,,2,,4,,,,,
chr13_87186449_87192108_2355_ZNF534_ZNF90_KAP1_k4me3_EncodeTxn_FOXP1_NANOG_GRO3of7_C_7down_-__chr13_87191700-87192108_-__1-408,1,10,,12,,,,,17,,,2,,4,,6,,,
chr1_35390272_35390664_h3k27ac_enh_SOLO_NANOG_C_7down_-__chr1_35390272-35390664_-__1-391,,,,,,,,,,,,2,,4,,,,,
chr3_190144600_190150202_3267_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_7down____chr3_190144600-190145007____1-398,1,10,11,12,,,,,,,,2,,4,,6,,,
chr3_161721915_161727777_3273_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO7of7_C_7down_-__chr3_161727371-161727777_-__1-406,1,10,11,12,,,,,,,,2,,,,,,,
chr2_208893768_208905467_2916_ZNF534_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_7down____chr2_208893768-208894167____1-399,,10,,,,,,,,,,,,,,,,,
chr16_7814737_7820397_4211_1_EncodeRepressed_GRO3of7_7down____chr16_7814737-7815094____1-357,,,,,,,,,,,,,,,,6,,,
chr3_21377907_21382955_2230_1_EncodeRepressed_GRO4of7_C_7down_-__chr3_21382547-21382955_-__1-407,,,,,,,,,,,,,,4,,,,,
chr11_118717034_118731855_2447_ZNF534_ZNF90_KAP1_EncodeTxn_wanghigh_GRO1of7_C_7down_-__chr11_118731446-118731855_-__1-408,1,10,11,12,,,,,,,,,,4,,6,,8,9
chr9_78180694-78186819_3369_ZNF534_ZNF90_EncodeTxn_GRO2of7__chr9_78180694-78181102____1-407,1,10,,,,,,,,,,,,,,,,,
chrX_16227870_16228276_EncodeRepressed_SOLO_7down____chrX_16227870-16228276____1-404,,,,,,,,,,,,,,4,,,,,
chr4_167876312-167882021_2857_ZNF534_KAP1_weakenh_NANOG_OCT4_SMAD11_SOX2_TCF4_GRO2of7__chr4_167876312-167876709____1-397,,10,,12,13,14,15,16,,,,2,,4,5,,,,
chr19_46273189_46278852_2961_ZNF534_KAP1_k4me3_TSSflanking_GRO3of7_C_7down_-__chr19_46278439-46278852_-__1-411,,10,,12,,,,,,,,,,4,,,,,
chr12_29275067_29275466_EncodeTxn_SOLO_C_7down_-__chr12_29275067-29275466_-__1-399,,,,,,,,,,,,,,,,,,,
chr14_48278478_48278865_EncodeTxn_SOLO_C_7down_-__chr14_48278478-48278865_-__1-374,,,,,,,,,,,,,,4,5,,,,
chr2_126382198_126382599_EncodeRepressed_SOLO_C_7down_-__chr2_126382198-126382599_-__1-400,,,,,,,,,,,,,,,,,,,
chr13_81866095_81872431_2976_ZNF534_ZNF90_KAP1_EncodeRepressed_GRO3of7_7down____chr13_81866095-81866504____1-409,1,10,11,12,,,,,,,,,,,,,,,
chr2_184168918_184169332_EncodeTxn_SOLO_C_7down_-__chr2_184168918-184169332_-__1-411,,,,,,,,,,,,,,4,,,,,
chr12_25163213_25169508_3107_ZNF534_EncodeTxn_GRO3of7_7down____chr12_25163213-25163617____1-403,,10,,,,,,,,,,,,,,,,,
chr4_12363888-12369679_3258_ZNF534_KAP1_k27ac_TSSflanking_NANOG_GRO2of7__chr4_12363888-12364267____1-377,,10,,12,,,,,,,,2,,4,,,,,
chr13_97652418_97652827_EncodeRepressed_SOLO_C_7down_-__chr13_97652418-97652827_-__1-409,,,,,,,,,,,,,,4,,,,,
chr3_179517069_179522482_2680_ZNF534_EncodeRepressed_GRO5of7_GRO6of7_GRO7of7_7down____chr3_179517069-179517479____1-410,,10,,,,,,,,,,,,,,,,,
chr11_83419135_83423556_2442_ZNF534_KAP1_EncodeTxn_GRO4of7_7down____chr11_83419135-83419545____1-409,,10,,12,,,,,,,,,,,5,,,,
chr19_55006829_55012423_3186_ZNF534_k4me3_weakenh_NANOG_GRO1of7_C_7down_-__chr19_55012016-55012423_-__1-397,,10,,,,,,,,,,2,,4,,6,,8,
chr3_20976906_20977305_EncodeTxn_SOLO_NANOG_SMAD11_TCF4_C_7down_-__chr3_20976906-20977305_-__1-397,,,,,13,,15,,,,,2,,4,,,,,
chr4_11806284-11811938_3147_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO2of7__chr4_11806284-11806743____1-408,1,10,11,12,,,,,,,,2,,4,,6,,,
chr3_164342181_164347849_3077_ZNF90_KAP1_EncodeTxn_GRO7of7_C_7down_-__chr3_164347441-164347849_-__1-408,1,,11,12,,,,,,,,,,4,,,,,
chr7_125917557_125924110_3594_ZNF534_KAP1_k27ac_EncodeTxn_GRO3of7_7down____chr7_125917557-125917965____1-407,,10,11,12,,,,,,,,,,4,,,,,
chr6_80647676_80653384_1757_ZNF534_EncodeRepressed_C_7down_-__chr6_80652983-80653384_-__1-401,,10,,,,,,,,,,,,,,,,,
chr11_23887264_23892921_4440_ZNF534_EncodeRepressed_GRO4of7_C_7down_-__chr11_23892526-23892921_-__1-395,,10,,,,,,,,,,,,,,,,,
chr2_231569533_231569891_EncodeRepressed_SOLO_7down____chr2_231569533-231569891____1-347,,,,,,,,,,,,,,,,,,,
chrX_96624025_96630448_3323_ZNF534_KAP1_EncodeRepressed_GRO3of7_7down____chrX_96624025-96624427____1-402,,10,,12,,,,,,,,,,,,6,,,
chrX_99158722_99165186_3398_ZNF534_EncodeRepressed_C_7down_-__chrX_99164787-99165186_-__1-399,,10,,,,,,,,,,,,,,,,,
chr4_63984936_63985345_EncodeTxn_SOLO_C_7down_-__chr4_63984936-63985345_-__1-409,,,,,,,,,,,,,,,,,,,
chr18_35216028_35222512_3016_ZNF534_weakenh_7down____chr18_35216028-35216409____1-380,,10,,,,,,,,,,,,,,6,,,
chrX_43007080_43007491_SOLO_NANOG_44108_SMAD11_SOX2_C_7down_-__chrX_43007080-43007491_-__1-411,,,,,13,,,16,,,,2,,4,,,,,
chr19_54321247_54321646_EncodeRepressed_SOLO_C_7down_-__chr19_54321247-54321646_-__1-399,,,11,,,,,,,,,,,,,,,,
chr3_153226150_153232523_3380_ZNF534_EncodeRepressed_GRO7of7_C_7down_-__chr3_153232111-153232523_-__1-409,,10,,,,,,,,,,,,,5,6,,,
chr6_169674740_169675135_EncodeRepressed_SOLO_C_7down_-__chr6_169674740-169675135_-__1-395,,,,,,,,,,,,,,4,,,,,
chr4_154918329_154924563_2955_ZNF534_KAP1_EncodeTxn_GRO3of7_C_7down_-__chr4_154924155-154924563_-__1-408,,10,11,12,,,,,,,,,,,,,,,
chr3_192995645_193001388_4652_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_7down____chr3_192995645-192996056____1-408,1,10,11,12,,,,,,,,2,,4,,6,,,
chrX_114051229_114051630_EncodeTxn_SOLO_FOXP1_NANOG_7down____chrX_114051229-114051630____1-401,,,,,,,,,17,,,2,,4,,,,,
chr14_71124207-71130006_3092_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_GRO2of7__chr14_71124207-71124614____1-407,1,10,11,12,,,,,,,,2,,4,,6,,,
chr12_99715182_99721737_2820_1_k27ac_EncodeTxn_7down____chr12_99715182-99715589____1-406,,,,,,,,,,,,,,,,,,,
chr3_152597016_152603153_2326_ZNF534_EncodeTxn_NANOG_GRO1of7_7down____chr3_152597016-152597424____1-406,,10,,,,,,,,,,2,,4,,,,8,
chr5_15702738_15703151_weakenh_SOLO_C_7down_-__chr5_15702738-15703151_-__1-409,,,,,,,,,,,,,,4,5,,,,
chr1_231829672_231835648_3227_ZNF534_EncodeRepressed_NANOG_C_7down_-__chr1_231835237-231835648_-__1-411,,10,,,,,,,,,,2,,4,,6,,,
chr13_48056344_48062289_3125_ZNF534_ZNF90_KAP1_EncodeTxn_NANOG_7down____chr13_48056344-48056764____1-407,1,10,11,12,,,,,,,,2,,4,,,,,
chr15_24685360_24691027_2990_1_k4me3_EncodeTxn_C_7down_-__chr15_24690627-24691027_-__1-399,,,,,,,,,,,,,,4,,6,,,
chr8_56439026_56439435_EncodeRepressed_SOLO_7down____chr8_56439026-56439435____1-409,,,11,,,,,,,,,,,,,,,,
chr9_126074450_126080414_3478_ZNF534_ZNF90_KAP1_EncodeTxn_GRO4of7_C_7down_-__chr9_126080018-126080414_-__1-395,1,10,11,12,,,,,,,,,,,,,,,
chr5_110530936-110535513_2344_1_EncodeTxn_GRO2of7__chr5_110530936-110531331____1-395,,,,,,,,,,,,,,,,,,,
chr3_191895384_191901110_4259_ZNF534_ZNF90_KAP1_EncodeRepressed_NANOG_GRO3of7_C_7down_-__chr3_191900702-191901110_-__1-408,1,10,11,12,,,,,,,,2,,4,,6,,,
chr14_86731586_86737060_2791_1_EncodeTxn_NANOG_7down____chr14_86731586-86731996____1-409,,,,,,,,,,,,2,,,5,,,,
chr21_5601124_5601526_SOLO_C_7down_-__chr21_5601124-5601526_-__1-399,,,,,,,,,,,,,,,,,,,
chr21_7096350_7096752_SOLO_C_7down_-__chr21_7096350-7096752_-__1-399,,,,,,,,,,,,,,,,,,,
chr21_7478128_7478530_SOLO_C_7down_-__chr21_7478128-7478530_-__1-399,,,,,,,,,,,,,,,,,,,
chr21_6219444_6219846_SOLO_7down____chr21_6219444-6219846____1-399,,,,,,,,,,,,,,,,,,,
chr21_7659875_7660277_SOLO_7down____chr21_7659875-7660277____1-399,,,,,,,,,,,,,,,,,,,
chr4_6528607_6529011_weakenh_SOLO_7down____chr4_6528607-6529011____1-404,,,,,,,,,,,,,,4,5,,,,
chr1_182445466_182445875_EncodeTxn_SOLO_C_7down_-__chr1_182445466-182445875_-__1-409,,,,,,,,,,,,,,4,,,,,
chr6_27378256_27378712_h3k27ac_enh_SOLO_NANOG_C_7old_-__chr6_27378256-27378712_-__1-394,,,,,,,,,,,,2,,4,5,,,,
chr7_100922282_100928020_2913_ZNF534_k27ac_EncodeTxn_GRO3of7_7down____chr7_100922282-100922669____1-383,,10,,,,,,,,,,,,4,5,,,,
chr1_98801055_98806858_2915_ZNF534_EncodeTxn_GRO5of7_GRO6of7_GRO7of7_C_7old_-__chr1_98806415-98806858_-__1-437,,10,,,,,,,,,,,,,,,,,
chr3_58440917_58441370_h3k27ac_EncodeRepressed_SOLO_C_7old_-__chr3_58440917-58441370_-__1-447,,,,,,,,,,,,,,4,,,,,
chr22_34840713_34841164_h3k27ac_enh_SOLO_NANOG_C_7old_-__chr22_34840713-34841164_-__1-390,,,,,,,,,,,,2,,4,,,,,
chr4_83234495_83234897_EncodeRepressed_SOLO_7down____chr4_83234495-83234897____1-389,,,,,,,,,,,,,,,,,,,
chrX_103429055_103435438_2990_ZNF534_k4me3_EncodeTxn_SMAD11_C_7old_-__chrX_103435040-103435438_-__1-397,,10,,,13,,,,,,,,,4,,6,,,
chrX_33103275_33103716_EncodeRepressed_SOLO_NANOG_7old____chrX_33103275-33103716____1-441,,,,,,,,,,,,2,,4,,,,,
chrX_57338064_57338564_EncodeTxn_SOLO_NANOG_C_7up_phylo_-__chrX_57338064-57338564_-__1-448,,,,,,,,,,,,2,,4,,,,,
chr1_242210318_242210868_h3k27ac_enh_SOLO_NANOG_7up_phylo____chr1_242210318-242210868____1-447,,,,,,,,,,,,2,,4,5,,,,
chr4_64737777_64738276_h3k27ac_enh_SOLO_NANOG_44108_SMAD11_SOX2_TCF4_7up_phylo____chr4_64737777-64738276____1-498,,,,,13,,15,16,,,,2,,4,5,,,,
chr4_94166842_94167290_h3k27ac_EncodeTxn_SOLO_FOXP1_NANOG_C_7up_phylo_-__chr4_94166842-94167290_-__1-448,,,,,,,,,17,,,2,,4,5,,,,
